years,恋愛,ファンタジー,文芸,SF,ノンジャンル,その他
2004,0.0035842293906810036,0.0035842293906810036,0.0,0.0035842293906810036,0.989247311827957,0.0
2005,0.007982583454281567,0.005805515239477504,0.010159651669085631,0.0,0.9731494920174165,0.002902757619738752
2006,0.012269938650306749,0.014314928425357873,0.014059304703476482,0.0007668711656441718,0.9542433537832311,0.0043456032719836404
2007,0.015079654627264988,0.013985163565608659,0.02724066642344643,0.004377964246625319,0.9333576553569257,0.005958895780128906
2008,0.014105109183993313,0.020478528889353254,0.03332985059032494,0.007000313446870755,0.9163096855083064,0.008776512381151395
2009,0.017416059616511763,0.02210499874403416,0.041279410533366825,0.009712802478439253,0.8946663317424433,0.014820396885204722
2010,0.030853369105355483,0.026932205138788568,0.04380352904756991,0.007635950882261893,0.873026519451037,0.0177484263749871
2011,0.0390163242330425,0.039860681114551086,0.049817056009006475,0.007810301153954404,0.8397481001970166,0.023747537292428934
2012,0.04605228826384178,0.046287115796065335,0.04871366696237541,0.010436779209935814,0.816573605385378,0.03193654438240359
2013,0.054282399807385036,0.05859434850176199,0.06065182655897739,0.012344868343292403,0.7709195175870598,0.04320703920152341
2014,0.06183267771846024,0.07718109019387469,0.07294886203989885,0.01615622365833099,0.7158436358527677,0.056037510536667605
2015,0.07538357907342265,0.10223785644787067,0.099064441284335,0.01914527355736846,0.6292942145049023,0.0748746351321009
2016,0.1471047670347428,0.2213843253433881,0.23355776999730676,0.0401427417182871,0.19780500942633988,0.16000538647993537
2017,0.17998369584480334,0.2725038692832079,0.30002008482886544,0.04476553915950898,0.0,0.20272681088361433
2018,0.17983266078471605,0.2718806283199964,0.3021909126142763,0.04581309987916923,0.0,0.2002826984018421
2019,0.18295786284770035,0.26473147893142385,0.29664555218947947,0.04418617460754613,0.0,0.21147893142385019
2020,0.19610998529820797,0.25582111495211984,0.29860531648587435,0.04440338538562403,0.0,0.2050601978781738
2021,0.21305668016194332,0.23842716370025208,0.2923191505614544,0.038480635551142006,0.0,0.21771637002520816
2022,0.21993666158764302,0.22801828448507663,0.2934331212094052,0.0367781064204834,0.0,0.22183382629739176
