years,恋愛,ファンタジー,文芸,SF,ノンジャンル,その他
2004,27092.0,7623.0,0.0,38024.0,2130529.0,0.0
2005,2070680.0,488740.0,343691.0,0.0,17310815.0,7972.0
2006,1238191.0,2926169.0,6495485.0,83281.0,41867472.0,405642.0
2007,8757890.0,25666290.0,25230308.0,4009871.0,150375720.0,1026131.0
2008,105105720.0,81897146.0,41499780.0,10897037.0,231305056.0,835293.0
2009,123406224.0,305297743.0,38929572.0,5803060.0,368763564.0,2404525.0
2010,432421590.0,782619180.0,76377621.0,36151479.0,740002081.0,22669463.0
2011,496075380.0,1656153655.0,377690084.0,83219377.0,1201851016.0,25501570.0
2012,856270899.0,5965289103.0,419650141.0,466457753.0,1257012963.0,79538162.0
2013,1564147452.0,12295674929.0,715106377.0,865722116.0,1174959561.0,37681222.0
2014,1460884756.0,8085252395.0,514685390.0,252407504.0,757335314.0,46777262.0
2015,1746209819.0,10847594156.0,1040749658.0,880185901.0,424712019.0,71797597.0
2016,2166817111.0,11544022813.0,999600774.0,1387464933.0,52637320.0,223667464.0
2017,2469715217.0,9769932111.0,1178246037.0,1032181900.0,0.0,73160769.0
2018,3350754146.0,7902254722.0,762240845.0,892437346.0,0.0,41083941.0
2019,3878893494.0,7566671519.0,559921408.0,744628601.0,0.0,33141483.0
2020,3876547549.0,6629882787.0,460523071.0,538868019.0,0.0,23919142.0
2021,2922804460.0,3467720593.0,376882882.0,227100851.0,0.0,19599608.0
2022,1204046903.0,876364628.0,88845003.0,42153690.0,0.0,5719376.0
