years,恋愛,ファンタジー,文芸,SF,ノンジャンル,その他
2004,0.012296279889691132,0.0034598605344424737,0.0,0.01725800038851379,0.9669858591873526,0.0
2005,0.10239790547850652,0.02416884903682137,0.016995981287216463,0.0,0.8560430380966217,0.0003942261008338584
2006,0.023354938034081632,0.05519382362838255,0.12251877915144492,0.0015708582879510127,0.7897103227237541,0.0076512781743858106
2007,0.04072183166290976,0.1193413414408521,0.11731414246803346,0.018644821053014324,0.6992066303674576,0.004771233007732828
2008,0.22289882696534236,0.1736801553256034,0.08800902825573885,0.023109463164306693,0.4905311114709345,0.0017714148180742373
2009,0.1461112231003861,0.3614682079529258,0.04609206242056757,0.006870740930578401,0.43661084201796424,0.002846923577577869
2010,0.20687638619335097,0.3744156893831403,0.036540095554723324,0.01729536060182568,0.3540270879926217,0.010845380274338014
2011,0.12916977787685954,0.43123486544786616,0.0983442158660896,0.021668941607504558,0.31294201453375486,0.006640184667925236
2012,0.09467604632437616,0.6595692883099188,0.04639982070597846,0.05157523849399489,0.13898524129958706,0.008794364866144698
2013,0.09392422136211914,0.7383330084074802,0.04294084267114929,0.0519850449887548,0.07055419344115796,0.002262689129338654
2014,0.13140593087780486,0.7272648393265706,0.04629572079822294,0.02270394217438412,0.06812197301263691,0.004207593810380597
2015,0.11632674946308516,0.7226310114238561,0.06933131597512655,0.05863508707401609,0.028292916515878362,0.004782919548037746
2016,0.13233108993243628,0.7050124873456379,0.06104726571024707,0.08473476875129066,0.0032146478313104052,0.01365974042907766
2017,0.17005268049202044,0.6727104130324568,0.0811283404223161,0.07107106829246483,0.0,0.0050374977607418265
2018,0.25877005207675696,0.6102706366496095,0.05886588348809319,0.06892062157868109,0.0,0.003172806206859323
2019,0.30343547377640606,0.5919204950663705,0.04380115565865351,0.0582503058362905,0.0,0.0025925696622794946
2020,0.3362215763777973,0.5750244550515544,0.03994218848931866,0.04673721978581123,0.0,0.002074560295518351
2021,0.41670363442062314,0.49439221611778245,0.05373211544925549,0.032377721906075234,0.0,0.0027943121062636946
2022,0.5430656390136147,0.3952699147582532,0.04007208374287186,0.01901273159674563,0.0,0.002579630888514591
