years,異世界恋愛,現実恋愛,ハイファン,ローファン,純文学,人間ドラマ,歴史,推理,ホラー,アクション,コメディー,VRゲーム,宇宙,空想科学,パニック,ノンジャンル,童話,詩,エッセイ,リプレイ,その他
2004,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,276,0,0,0,0,0
2005,1,10,5,3,1,3,1,0,1,1,7,0,0,0,0,1341,0,1,0,0,3
2006,5,43,16,40,5,18,2,3,9,3,15,0,0,3,0,3733,3,3,2,0,9
2007,9,115,64,51,13,45,11,9,33,8,105,3,5,26,2,7675,18,8,3,0,20
2008,28,107,97,99,22,83,28,26,65,13,82,2,15,38,12,8770,14,6,8,0,56
2009,41,167,132,132,53,101,25,38,112,36,128,1,18,94,3,10685,41,31,27,0,78
2010,191,407,312,210,78,294,55,47,150,37,188,8,23,109,8,16921,54,40,53,0,197
2011,349,760,671,462,144,412,93,62,235,72,398,22,32,148,20,23869,87,107,91,1,389
2012,594,1171,1136,638,198,493,107,107,392,123,447,99,56,225,20,31296,318,202,124,1,579
2013,838,1642,1650,1027,304,755,175,170,523,209,635,123,73,335,33,35221,566,505,217,3,683
2014,1301,2220,2829,1566,505,1133,256,230,719,286,1025,169,134,542,75,40763,813,753,533,34,1058
2015,2153,2883,4478,2352,790,1719,449,310,1395,421,1534,261,187,712,119,42040,876,1596,838,46,1646
2016,4082,6842,11381,5059,2264,6158,752,800,2392,1772,3206,726,359,1505,391,14689,1309,3735,2486,63,4289
2017,5805,9429,16276,6789,2933,9888,960,1147,3179,2953,4334,825,430,1950,584,0,1580,6161,3742,48,5628
2018,6454,9322,17042,6809,3260,10479,1028,1192,3475,2877,4199,880,558,2064,517,0,1479,5611,4563,79,5838
2019,7680,8928,17184,6847,3139,10863,1116,1085,3408,2691,4626,761,594,2092,564,0,1579,6282,4948,79,6309
2020,9554,10188,18493,7260,4269,11483,1171,1174,4341,2535,5087,1183,557,2086,644,0,2216,6320,5783,98,6226
2021,11149,11164,17824,7146,4588,11934,1253,1283,4646,2217,4693,843,520,2057,610,0,2122,8497,6168,92,5922
2022,7697,7026,10825,4439,3026,7208,788,1130,2925,1497,3069,493,348,1230,391,0,1076,5250,4763,43,3718
sum,57931,72425,120415,50930,25592,73069,8270,8813,28000,17751,33778,6399,3909,15217,3993,237279,14151,45108,34349,587,42648
