years,異世界恋愛,現実恋愛,ハイファン,ローファン,純文学,人間ドラマ,歴史,推理,ホラー,アクション,コメディー,VRゲーム,宇宙,空想科学,パニック,ノンジャンル,童話,詩,エッセイ,リプレイ,その他
2004,0.0,27092.0,0.0,7623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38024.0,0.0,2130529.0,0.0,0.0,0.0,0.0,0.0
2005,129356.0,1941324.0,306832.0,181908.0,3000.0,58866.0,222441.0,0.0,4321.0,30593.0,24470.0,0.0,0.0,0.0,0.0,17310815.0,0.0,2047.0,0.0,0.0,5925.0
2006,190919.0,1047272.0,676516.0,2249653.0,374826.0,187551.0,48862.0,78959.0,1580751.0,154923.0,4069613.0,0.0,0.0,83281.0,0.0,41867472.0,13174.0,6881.0,11013.0,0.0,374574.0
2007,1736038.0,7021852.0,15328032.0,10338258.0,153965.0,701487.0,2782252.0,749031.0,264359.0,2444962.0,18134252.0,246819.0,163223.0,3589251.0,10578.0,150375720.0,689356.0,23085.0,219069.0,0.0,94621.0
2008,74106450.0,30999270.0,69144652.0,12752494.0,274031.0,24211439.0,2118295.0,771535.0,1135590.0,2243193.0,10745697.0,7497235.0,263632.0,2818493.0,317677.0,231305056.0,45396.0,37858.0,101187.0,0.0,650852.0
2009,90576116.0,32830108.0,273133066.0,32164677.0,247094.0,5997288.0,7820105.0,866995.0,3295045.0,5262749.0,15440296.0,2814096.0,1052878.0,1883981.0,52105.0,368763564.0,179415.0,291192.0,741181.0,0.0,1192737.0
2010,362555375.0,69866215.0,639969409.0,142649771.0,1132352.0,10363338.0,31046837.0,2724233.0,2908197.0,8932238.0,19270426.0,16363759.0,2667395.0,13702474.0,3417851.0,740002081.0,265595.0,175659.0,4796554.0,0.0,17431655.0
2011,350574131.0,145501249.0,1467451684.0,188701971.0,7384987.0,17161427.0,26657801.0,288708710.0,2861946.0,16471590.0,18443623.0,76433168.0,1102213.0,4442890.0,1241106.0,1201851016.0,680163.0,970245.0,1898379.0,1480.0,21951303.0
2012,643467214.0,212803685.0,5572235425.0,393053678.0,10864126.0,74341675.0,107748077.0,3712370.0,20351563.0,142728839.0,59903491.0,445538963.0,5624706.0,14127399.0,1166685.0,1257012963.0,2551406.0,521332.0,15859838.0,2553.0,60603033.0
2013,960007447.0,604140005.0,11689361510.0,606313419.0,1405098.0,351531977.0,241352211.0,23720804.0,7056493.0,25884402.0,64155392.0,719988902.0,67415359.0,75588940.0,2728915.0,1174959561.0,1604582.0,1808354.0,11227646.0,11311.0,23029329.0
2014,1190390318.0,270494438.0,7544466333.0,540786062.0,3215998.0,73499096.0,54503434.0,14594682.0,10195159.0,172843254.0,185833767.0,188713729.0,8083002.0,38997469.0,16613304.0,757335314.0,4334988.0,1622142.0,10664862.0,527694.0,29627576.0
2015,1390383277.0,355826542.0,10045316876.0,802277280.0,6132292.0,300883411.0,247373894.0,5195389.0,16862055.0,259330346.0,204972271.0,756813376.0,44344454.0,55797362.0,23230709.0,424712019.0,3181330.0,1549775.0,15429723.0,572509.0,51064260.0
2016,1904881097.0,261936014.0,10626614544.0,917408269.0,5731765.0,110843950.0,360553337.0,17680323.0,17437648.0,53679061.0,433674690.0,1296656210.0,15651508.0,57635035.0,17522180.0,52637320.0,2076448.0,2567573.0,16121638.0,565816.0,202335989.0
2017,2174826470.0,294888747.0,9014167786.0,755764325.0,6645014.0,92666359.0,781743562.0,15165836.0,18244793.0,122060929.0,141719544.0,944916897.0,7210955.0,62110772.0,17943276.0,0.0,3617373.0,2907196.0,44205273.0,446771.0,21984156.0
2018,2795455573.0,555298573.0,7350608314.0,551646408.0,5016995.0,196784853.0,289882958.0,13634170.0,12206609.0,130261135.0,114454125.0,652143158.0,182257846.0,49988906.0,8047436.0,0.0,2074664.0,1662257.0,13295781.0,232546.0,23818693.0
2019,3277767084.0,601126410.0,6541686112.0,1024985407.0,14193343.0,123690060.0,207149199.0,15305563.0,29550206.0,75636461.0,94396576.0,510314495.0,179984048.0,46395067.0,7934991.0,0.0,2481833.0,1875060.0,9995163.0,98432.0,18690995.0
2020,3196985142.0,679562407.0,5732197228.0,897685559.0,5526551.0,132434505.0,204782929.0,8865363.0,9243077.0,57555022.0,42115624.0,454527109.0,24122170.0,25337297.0,34881443.0,0.0,1597828.0,1852761.0,8521973.0,162672.0,11783908.0
2021,2465293658.0,457510802.0,2906388385.0,561332208.0,5457530.0,99401048.0,194886176.0,7850371.0,7531703.0,23884498.0,37871556.0,148593641.0,25660194.0,34622849.0,18224167.0,0.0,2464708.0,1642901.0,8485575.0,66765.0,6939659.0
2022,1053114586.0,150932317.0,703512493.0,172852135.0,1710721.0,35871379.0,32507382.0,2036289.0,2542102.0,6364446.0,7812684.0,29905614.0,7922963.0,2577122.0,1747991.0,0.0,370946.0,637506.0,2410737.0,10619.0,2289568.0
