years,異世界恋愛,現実恋愛,ハイファン,ローファン,純文学,人間ドラマ,歴史,推理,ホラー,アクション,コメディー,VRゲーム,宇宙,空想科学,パニック,ノンジャンル,童話,詩,エッセイ,リプレイ,その他
2004,0.0,0.012296279889691132,0.0,0.0034598605344424737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01725800038851379,0.0,0.9669858591873526,0.0,0.0,0.0,0.0,0.0
2005,0.006396827834855067,0.09600107764365146,0.015173254261296343,0.008995594775525027,0.00014835402690687095,0.002911002715966622,0.011000006033063761,0.0,0.00021367925008819647,0.0015128649150539678,0.0012100743461370442,0.0,0.0,0.0,0.0,0.8560430380966217,0.0,0.00010122689769278828,0.0,0.0,0.00029299920314107016
2006,0.0036011418388026007,0.019753796195279033,0.012760542807260567,0.04243328082112198,0.0070700223176898246,0.0035376141348386833,0.0009216421232437457,0.0014893360977692872,0.029816354384995993,0.0029221800716157918,0.07676163002129159,0.0,0.0,0.0015708582879510127,0.0,0.7897103227237541,0.0002484898966807152,0.0001297904189357827,0.00020772880158985248,0.0,0.007065269057179461
2007,0.00807210951455368,0.03264972214835608,0.07127122387101163,0.04807011756984047,0.0007158958164557789,0.0032617257727283145,0.01293672306774737,0.0034827925781553506,0.0012291982083098968,0.011368415335909812,0.08431939168872693,0.0011476419285019251,0.0007589430250340116,0.016689051246125554,4.9184853352834924e-05,0.6992066303674576,0.0032053198873035426,0.00010733903759219079,0.0010186118963085833,0.0,0.0004399621865285114
2008,0.15715834281488958,0.06574048415045279,0.1466358046139336,0.027044350711669798,0.0005811404788639451,0.05134545819431085,0.004492290911156404,0.0016362025440927993,0.0024082578846667253,0.004757163438458604,0.02278851480418952,0.015899466622592076,0.0005590872081036801,0.005977208314733287,0.0006737010188776507,0.4905311114709345,9.627178377084217e-05,8.0285866375816e-05,0.00021458835545907584,0.0,0.001380268812468503
2009,0.10724083975247838,0.038870383347907725,0.323385685493614,0.038082522459311756,0.0002925557997849995,0.007100704134381977,0.00925889367073937,0.0010265098126000455,0.0039012866573148834,0.0062310203516180345,0.018281091994128265,0.00333184984642188,0.001246592654479796,0.00223060684692766,6.169158274906473e-05,0.43661084201796424,0.0002124248213976288,0.0003447672078277643,0.0008775478167840811,0.0,0.001412183731568395
2010,0.1734514360741682,0.03342495011918274,0.30617009342251983,0.06824559596062046,0.0005417326402662119,0.004957962238518732,0.014853230249891125,0.001303310221371396,0.0013913211079454768,0.004273304480608669,0.009219234616121714,0.007828645481042985,0.0012761181469921829,0.006555450441381409,0.0016351465324091028,0.3540270879926217,0.00012706427029007282,8.403766130719291e-05,0.002294736850908074,0.0,0.008339541491832674
2011,0.09128367271651953,0.037886105160340015,0.38210001082356376,0.04913485462430244,0.0019229277824944575,0.004468550149858153,0.00694124798907683,0.07517494607737772,0.000745203136498261,0.004288928068913037,0.004802412661871141,0.019901925656912643,0.00028699793241701896,0.0011568546587240845,0.000323163359450811,0.31294201453375486,0.00017710313224989803,0.00025263566020174914,0.000494306316423312,3.8536738359753336e-07,0.005715754191666679
2012,0.07114679692142763,0.02352924940294853,0.6161101817704421,0.04345910653947663,0.0012012232316327492,0.008219800386012789,0.011913474977752863,0.00041046883002060817,0.00225022889790099,0.015781223195567722,0.0066234011870907345,0.04926229251696491,0.0006219117412946164,0.00156203636457689,0.00012899787115847644,0.13898524129958706,0.0002821035176255491,5.764256690262654e-05,0.0017535884483972184,2.822797628045191e-07,0.0067007480534565
2013,0.057646708336875435,0.036277513025243714,0.7019249858082276,0.036408022599252556,8.437358985479516e-05,0.02110885849118231,0.014492763110802222,0.001424391314856319,0.0004237296232684361,0.0015543114558448162,0.0038524150853403863,0.04323402945371234,0.0040481701989325825,0.004538978933226522,0.0001638664028833564,0.07055419344115796,9.635224273067566e-05,0.00010858838223972865,0.0006741998057351383,6.792050624565603e-07,0.0013828694935706547
